PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
276229427,22043931,10,2022-03-19T14:00:00,"4500 Block Butler St Pittsburgh, PA 15201",N,Central Lawrenceville,2,HARRASSMENT,2709(a) Harassment.,901,7,2,-79.9590062168043,40.472105410396
276240005,22044062,26,2022-03-24T22:02:00,"Churchview Ave & Sankey Ave Pittsburgh, PA 15227",Y,Carrick,3,CONCEALING DEATH BASTARD CHILD,4303 General Lighting Requirements. / 627.02(b)(i) Possessing a small amount of marijuana / 1543 Driving While Operating Privilege is Suspended or Revoked.,2904,4,3,-79.9765637586439,40.3854155138785
277701170,22053280,0,2022-04-09T22:14:00,"800 Block E Warrington Ave Pittsburgh, PA 15210",Y,Allentown,3,DUI - GENERAL IMPAIRMENT,3802(a)(1) DUI - General Impairment,1803,3,5,-79.9937050598573,40.4218022561637
277709906,22053395,29,2022-04-10T04:18:00,"1700 Block Jancey St Pittsburgh, PA 15206",N,Morningside,5,RUNAWAYS - JUVENILE,029 Missing Juvenile,1014,7,2,-79.927589742072,40.4847898475013
277713403,22053243,27,2022-04-09T20:54:00,"200 Block S Evaline St Pittsburgh, PA 15224",N,Bloomfield,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop. / 1785 Proof of Financial Responsibility Following Accident.,806,7,2,-79.9412931201978,40.4641364807374
277714468,22053470,10,2022-04-10T03:15:00,"500 Block Elmer L Williams Sq Pittsburgh, PA 15206",N,Larimer,5,SIMPLE ASSAULT,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2701 Simple Assault.",1204,,,,
277715817,22053510,99,2022-04-10T09:49:00,"2200 Block East Hills Dr Pittsburgh, PA 15221",N,East Hills,5,AIDED CASE,9497 Aided Case,1306,9,2,-79.8730925207885,40.4539041976002
277732051,22053784,10,2022-04-10T02:00:00,"40 Block Greenway Dr Pittsburgh, PA 15204",N,Crafton Heights,6,TERRORISTIC THREATS,"2706 Terroristic Threats. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck",2814,,,,
277737895,22053803,10,2022-04-10T21:04:00,"6600 Block Deary St Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,SIMPLE ASSAULT,2701 Simple Assault. / 9501 Bench Warrant,1203,9,2,-79.9038761014637,40.4659348852583
277757008,22053934,0,2022-04-11T04:54:00,"50 Block 11th St Pittsburgh, PA 15222",N,Central Business District,2,99,9999 9999 - (Misc. Incident): ,201,3,3,-79.9876755376991,40.428967496273
275830604,22040760,14,2022-03-19T13:33:00,"500 Block Forbes Ave Pittsburgh, PA 15219",Y,Central Business District,3,CRIM MISCHIEF,3304 Criminal Mischief. / 5534(a)(1) Aggrevated Cruelty to Animals - Intentionally or Knowlingly tortured an animal / 3301 Arson  / 3302 Causing or Risking Catastrophe.,3001,8,3,-79.94339909741,40.4442129846549
275851792,22041971,10,2022-03-21T16:31:00,"Broadway Ave & Boustead St Pittsburgh, PA 15216",Y,Beechview,6,SIMPLE ASSAULT,"2701 Simple Assault. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 907 Possessing Instruments of Crime.",1920,4,5,-80.029530846302,40.4058105116357
275874952,22042159,0,2022-03-21T21:22:00,"2400 Block Brighton Rd Pittsburgh, PA 15212",N,Perry South,1,99,9999 9999 - (Misc. Incident): ,2615,6,1,-80.0248187709871,40.4656693411108
275880727,22042178,10,2022-03-21T22:12:00,"1600 Block Duffield St Pittsburgh, PA 15206",Y,Stanton Heights,5,SIMPLE ASSAULT,2701 Simple Assault. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1018,7,2,-79.9304536463093,40.4828865763542
277627845,22052434,27,2022-04-07T20:30:00,"30 Block Cedricton St Pittsburgh, PA 15210",N,Carrick,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2901,4,3,-79.9922458741994,40.4049196161799
277629195,22052457,11,2022-04-08T12:00:00,"1400 Block Geyer Ave Pittsburgh, PA 15212",N,Marshall-Shadeland,1,THEFT BY DECEPTION,3922 Theft by Deception.,2715,,,,
277657320,22052710,11,2022-04-08T20:20:00,"600 Block Climax St Pittsburgh, PA 15210",N,Allentown,3,THEFT BY DECEPTION,3922 Theft by Deception.,1803,3,5,-79.997308790743,40.4199201442203
277658317,22052696,10,2022-04-08T20:00:00,"200 Block E Meyers St Pittsburgh, PA 15210",Y,Carrick,3,SIMPLE ASSAULT,2701 Simple Assault.,2902,4,3,-79.985800024621,40.4002798855465
277659550,22052157,0,2022-04-07T23:37:00,"200 Block Dilworth St Pittsburgh, PA 15211",N,Mount Washington,3,99,9999 9999 - (Misc. Incident): ,1914,2,5,-80.0132597923316,40.4256153393378
277663873,22052758,10,2022-04-08T22:39:00,"500 Block Sickles St Pittsburgh, PA 15221",Y,Lincoln-Lemington-Belmar,5,SIMPLE ASSAULT,2701 Simple Assault.,1202,9,2,-79.8814074828142,40.4494658009468
